,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
0,CPD002409748,CSc1nc(C)c(CCC(=O)Nc2nc(cs2)c3ccc4OCCc4c3)c(C)n1,-5.297,CSc1nc(C)c(CCC(=O)Nc2nc(-c3ccc4c(c3)CCO4)cs2)c(C)n1,-5.297,,-0.0,0
1,CPD000108966,O=C(CCc1ccccc1)Nc2ccc(NC(=O)c3ccco3)cc2,-4.834,O=C(CCc1ccccc1)Nc1ccc(NC(=O)c2ccco2)cc1,-4.834,,-0.0,0
2,CPD002441018,Nc1cc(ccc1S(=O)(=O)O)S(=O)(=O)[O-].[Na+],-9.014,Nc1cc(S(=O)(=O)[O-])ccc1S(=O)(=O)O,-9.014,0.0,-0.0,0
3,CPD002427050,Cc1ccc(s1)S(=O)(=O)NC(c2ccccc2)c3ccccn3,-4.891,Cc1ccc(S(=O)(=O)NC(c2ccccc2)c2ccccn2)s1,-4.891,,-0.0,0
4,CPD002410329,COc1ccc(NC(=O)CCSc2nnc3scc(c4ccc(Cl)cc4)n23)cc1,-5.654,COc1ccc(NC(=O)CCSc2nnc3scc(-c4ccc(Cl)cc4)n23)cc1,-5.654,,-0.0,0
5,CPD002394880,Cc1c(CCC#N)n2ccccc2c1C(=O)c3ccc(C)c(C)c3,-4.599,Cc1ccc(C(=O)c2c(C)c(CCC#N)n3ccccc23)cc1C,-4.599,,-0.0,0
6,CPD001241703,Cc1ccc(cc1)c2nn(cc2C(=O)N3CCN(CC3)C4CCS(=O)(=O)C4)c5ccccc5,-5.99,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)N2CCN(C3CCS(=O)(=O)C3)CC2)cc1,-5.99,,-0.0,0
7,CPD002442273,COc1ccc2C(=O)/C(=C/c3ccc(cc3)C(C)(C)C)/Oc2c1,-5.2,COc1ccc2c(c1)O/C(=C\c1ccc(C(C)(C)C)cc1)C2=O,-5.2,,-0.0,0
8,CPD002438568,Brc1ccc(/C=C(\C(=O)c2ccccc2)/c3nc4ccccc4o3)cc1,-4.94,O=C(/C(=C\c1ccc(Br)cc1)c1nc2ccccc2o1)c1ccccc1,-4.94,,-0.0,0
9,CPD002488980,Fc1ccc(cc1)S(=O)(=O)NCCc2ncc3ccccn23,-6.167,O=S(=O)(NCCc1ncc2ccccn12)c1ccc(F)cc1,-6.167,,-0.0,0
10,CPD000290698,COc1cccc(CC(NC(=O)C)C(=O)NC2CCN(CC2)C(=O)C3CC3)c1OC,-4.541,COc1cccc(CC(NC(C)=O)C(=O)NC2CCN(C(=O)C3CC3)CC2)c1OC,-4.541,,-0.0,0
11,CPD002454672,CCOC(=O)c1sc(NC(C)C)nc1C(F)(F)F,-5.025,CCOC(=O)c1sc(NC(C)C)nc1C(F)(F)F,-5.025,,-0.0,0
