,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
8342,ZINC000570638686,C=CCC(CC=C)C(=O)N[C@H](CO)[C@@H](C)CCC,-0.8872969999999999,C=CCC(CC=C)C(=O)N[C@H](CO)[C@@H](C)CCC,-0.8872969999999999,,-0.0,0,1.0,1
8188,ZINC000476246070,CCC(C)(C)N[C@@H](C)C(=O)N1CCCCc2ccccc21,-1.76602,CCC(C)(C)N[C@@H](C)C(=O)N1CCCCc2ccccc21,-1.76602,,-0.0,0,2.0,1
7716,ZINC000360330254,CCSCC[C@H](C)N(C)C(=O)[C@H](C)[C@H](C)COC,-1.82493,CCSCC[C@H](C)N(C)C(=O)[C@H](C)[C@H](C)COC,-1.82493,,-0.0,0,3.0,1
8484,ZINC000597428633,CO[C@@](C)(C(=O)N[C@H](C)CC(C)C)C(=O)OC(C)(C)C,-1.98197,CO[C@@](C)(C(=O)N[C@H](C)CC(C)C)C(=O)OC(C)(C)C,-1.98197,,-0.0,0,4.0,1
5097,ZINC000105638382,C=C(C)CN(CC)C(=O)[C@@H](C)SCCOC(C)C,-2.07098,C=C(C)CN(CC)C(=O)[C@@H](C)SCCOC(C)C,-2.07098,,-0.0,0,5.0,1
4467,ZINC000340577092,COCCn1cnnc1SCCC(C)(C)OC,-2.07825,COCCn1cnnc1SCCC(C)(C)OC,-2.07825,,-0.0,0,6.0,1
5711,ZINC000266618760,CCCCOCC(=O)NCCn1c(C)nnc1S,-2.11803,CCCCOCC(=O)NCCn1c(C)nnc1S,-2.11803,,-0.0,0,7.0,1
2628,ZINC000185954924,COCCC[C@@H](C)C(=O)OCc1cc(C)nc(C)n1,-2.16406,COCCC[C@@H](C)C(=O)OCc1cc(C)nc(C)n1,-2.16406,,-0.0,0,8.0,1
3133,ZINC000359777319,CCCC[C@H](C)N(C)C(=O)c1ccc(C(=O)OC)o1,-2.21557,CCCC[C@H](C)N(C)C(=O)c1ccc(C(=O)OC)o1,-2.21557,,-0.0,0,9.0,1
6628,ZINC000454810736,C=CC(C)(C)CNC(=O)NCC1(C(=O)OC)CC1,-2.26242,C=CC(C)(C)CNC(=O)NCC1(C(=O)OC)CC1,-2.26242,,-0.0,0,10.0,1
1194,ZINC000664130976,OCCOCCN(c1ccc(Cl)cn1)C1CCC1,-2.28732,OCCOCCN(c1ccc(Cl)cn1)C1CCC1,-2.28732,,-0.0,0,11.0,1
5093,ZINC000494355645,CCOC[C@H](C)NS(=O)(=O)c1ccc(OC(C)C)c(C)c1,-2.3370900000000003,CCOC[C@H](C)NS(=O)(=O)c1ccc(OC(C)C)c(C)c1,-2.3370900000000003,,-0.0,0,12.0,1
6202,ZINC000265813850,Cc1noc(C)c1CCC(=O)N(C)CCCOC(C)C,-2.34532,Cc1noc(C)c1CCC(=O)N(C)CCCOC(C)C,-2.34532,,-0.0,0,13.0,1
9461,ZINC000268154282,C=CCC(CC=C)C(=O)NCCc1ccccc1C,-2.38838,C=CCC(CC=C)C(=O)NCCc1ccccc1C,-2.38838,,-0.0,0,14.0,1
