,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
4793,ZINC000496376135,CCOC(=O)N[C@@H](C(=O)OCC1(C)CC1)C(C)C,-3.3846,CCOC(=O)N[C@@H](C(=O)OCC1(C)CC1)C(C)C,-3.3846,,-0.0,0,119.0,0
2284,ZINC000352387535,CCc1cnc(S(=O)(=O)[C@@H](C)c2nncn2C)[nH]1,-4.33266,CCc1cnc(S(=O)(=O)[C@@H](C)c2nncn2C)[nH]1,-4.33266,,-0.0,0,515.0,0
6010,ZINC000421231489,CO[C@H](CC(C)C)CS(=O)(=O)Nc1cncc(SC)c1,-5.30288,CO[C@H](CC(C)C)CS(=O)(=O)Nc1cncc(SC)c1,-5.30288,,-0.0,0,1909.0,0
8045,ZINC000318258493,C[C@H](N[C@H]1CCO[C@H]1C1CC1)c1cccc(-n2cnnn2)c1,-5.86701,C[C@H](N[C@H]1CCO[C@H]1C1CC1)c1cccc(-n2cnnn2)c1,-5.86701,,-0.0,0,3447.0,0
2765,ZINC000336292542,CC1=C(c2ccco2)CN(C(=O)[C@@H](O)C2CCC2)CC1,-5.38106,CC1=C(c2ccco2)CN(C(=O)[C@@H](O)C2CCC2)CC1,-5.38106,,-0.0,0,2113.0,0
3237,ZINC000267088332,Nc1ncnc2c1ncn2CC(=O)NC1(c2nccs2)CCCC1,-5.74216,Nc1ncnc2c1ncn2CC(=O)NC1(c2nccs2)CCCC1,-5.74216,,-0.0,0,3077.0,0
418,ZINC000413681321,C=CCNC(=O)CNC(=O)N[C@@H]1CS[C@@H](C)C1,-2.86815,C=CCNC(=O)CNC(=O)N[C@@H]1CS[C@@H](C)C1,-2.86815,,-0.0,0,44.0,1
9279,ZINC000097444426,O=S(=O)(NCc1ccn(-c2ccccc2)n1)c1cccc(Cl)c1,-5.70292,O=S(=O)(NCc1ccn(-c2ccccc2)n1)c1cccc(Cl)c1,-5.70292,,-0.0,0,2946.0,0
8754,ZINC000638039142,C[C@@H]1c2ccccc2CCN1Cc1ccc(S(N)(=O)=O)cc1,-6.92184,C[C@@H]1c2ccccc2CCN1Cc1ccc(S(N)(=O)=O)cc1,-6.92184,,-0.0,0,7049.5,0
2627,ZINC000361370685,CC#CCCNC(=O)N[C@@H](C)c1ccccc1OCC,-3.18392,CC#CCCNC(=O)N[C@@H](C)c1ccccc1OCC,-3.18392,,-0.0,0,83.0,1
6219,ZINC000667202681,CN(C)c1cc(NC(=O)NC2CC(CO)C2)ncc1Br,-7.261260000000001,CN(C)c1cc(NC(=O)NC2CC(CO)C2)ncc1Br,-7.261260000000001,,-0.0,0,7991.0,0
1788,ZINC000600022308,COC(=O)[C@H]1CCc2sc(NC(=O)c3coc(OC)n3)nc2C1,-5.70835,COC(=O)[C@H]1CCc2sc(NC(=O)c3coc(OC)n3)nc2C1,-5.70835,,-0.0,0,2965.0,0
4080,ZINC000574346596,C=CCN(CCC#N)C(=O)CO[C@H]1CCC[C@H](C)C1,-3.03901,C=CCN(CCC#N)C(=O)CO[C@H]1CCC[C@H](C)C1,-3.03901,,-0.0,0,69.0,1
8923,ZINC000339434587,COCCCNC(=O)CN1CC[C@]2(C1)CCCN(C)C2,-6.46136,COCCCNC(=O)CN1CC[C@@]2(CCCN(C)C2)C1,-6.46136,,-0.0,0,5464.0,0
7451,ZINC000329943335,C[C@@H]1C(O)=Nc2cc(/C(O)=N/CC3(CO)CCCC3)ccc2N1C,-6.465330000000001,C[C@@H]1C(O)=Nc2cc(/C(O)=N/CC3(CO)CCCC3)ccc2N1C,-6.465330000000001,,-0.0,0,5479.0,0
107,ZINC000352284475,COc1c(CNC(=O)NCCc2csc(C)n2)oc2ccccc21,-7.608110000000001,COc1c(CNC(=O)NCCc2csc(C)n2)oc2ccccc12,-7.608110000000001,,-0.0,0,8750.0,0
1942,ZINC000291179643,Cc1cccc2c1OC[C@H](N1C(=O)N[C@H](C)C1=O)C2,-5.79875,Cc1cccc2c1OC[C@H](N1C(=O)N[C@H](C)C1=O)C2,-5.79875,,-0.0,0,3239.0,0
8118,ZINC000462164393,CC[C@]1(CNC(=O)N2C[C@H]3CCC[C@@H]32)OCCc2ccccc21,-5.69616,CC[C@]1(CNC(=O)N2C[C@H]3CCC[C@@H]32)OCCc2ccccc21,-5.69616,,-0.0,0,2928.0,0
7220,ZINC000246938949,CCC[C@H](NC(N)=O)C(=O)N[C@@H](C)C[C@H](C)CC,-3.23753,CCC[C@H](NC(N)=O)C(=O)N[C@@H](C)C[C@H](C)CC,-3.23753,,-0.0,0,96.0,1
4729,ZINC000650462842,O=S(=O)(N[C@H](C1CC1)C(F)(F)F)c1ccc(Cl)c(F)c1,-5.81165,O=S(=O)(N[C@H](C1CC1)C(F)(F)F)c1ccc(Cl)c(F)c1,-5.81165,,-0.0,0,3289.0,0
9403,ZINC000597437040,COC(=O)CCSc1cccc(NC(=O)c2nccnc2C)c1,-6.30515,COC(=O)CCSc1cccc(NC(=O)c2nccnc2C)c1,-6.30515,,-0.0,0,4926.0,0
8915,ZINC000358877723,C[C@@H](C(=O)N[C@@](C)(CO)C1CCCCC1)N1CCc2ccccc2C1,-6.57957,C[C@@H](C(=O)N[C@@](C)(CO)C1CCCCC1)N1CCc2ccccc2C1,-6.57957,,-0.0,0,5848.0,0
9662,ZINC000329639166,Cc1ccc2nc([C@H]3CCCN(Cc4nc(=O)n(C)[nH]4)C3)[nH]c2c1,-8.01271,Cc1ccc2nc([C@H]3CCCN(Cc4nc(=O)n(C)[nH]4)C3)[nH]c2c1,-8.01271,,-0.0,0,9339.0,0
6797,ZINC000255862582,COc1ccc(OC)c(/C=C\C(=O)N(C)C[C@H]2CCCN(C)C2)c1,-7.35453,COc1ccc(OC)c(/C=C\C(=O)N(C)C[C@H]2CCCN(C)C2)c1,-7.35453,,-0.0,0,8223.0,0
4940,ZINC000532765641,CCC[C@H](C#N)NS(=O)(=O)c1cnn(CCOC)c1,-2.80777,CCC[C@H](C#N)NS(=O)(=O)c1cnn(CCOC)c1,-2.80777,,-0.0,0,39.0,1
4098,ZINC000264389684,Cc1nccn1C[C@H](C)CNC(=O)N[C@H]1CCN(c2ccccc2)C1,-8.73563,Cc1nccn1C[C@H](C)CNC(=O)N[C@H]1CCN(c2ccccc2)C1,-8.73563,,-0.0,0,9802.0,0
5659,ZINC000601607382,O=C(CSCC(=O)N1CCCCC1)N1CC[C@@H]1C(F)F,-5.897419999999999,O=C(CSCC(=O)N1CC[C@@H]1C(F)F)N1CCCCC1,-5.897419999999999,,-0.0,0,3560.0,0
2325,ZINC000650753410,CCO[C@@H]1C[C@H](NCc2ccc(CN)cc2F)C1(C)C,-7.436560000000001,CCO[C@@H]1C[C@H](NCc2ccc(CN)cc2F)C1(C)C,-7.436560000000001,,-0.0,0,8404.0,0
3775,ZINC000172671525,C[C@H](NC(=O)Nc1ccccc1)C(=O)N1Cc2ccccc2C[C@H]1C,-8.21996,C[C@H](NC(=O)Nc1ccccc1)C(=O)N1Cc2ccccc2C[C@H]1C,-8.21996,,-0.0,0,9534.0,0
9788,ZINC000342724218,CCCOc1cc(C)ccc1CNC(=O)c1ccc(C#N)o1,-5.55998,CCCOc1cc(C)ccc1CNC(=O)c1ccc(C#N)o1,-5.55998,,-0.0,0,2539.0,0
6614,ZINC000121835559,CCC[C@@H](N)C(=O)NC[C@@H](CC)Oc1cccc(C)c1,-6.05365,CCC[C@@H](N)C(=O)NC[C@@H](CC)Oc1cccc(C)c1,-6.05365,,-0.0,0,4095.0,0
2381,ZINC000360715153,CCC(CC)N(CC)C(=O)NCc1ccc2cc[nH]c2n1,-6.35341,CCC(CC)N(CC)C(=O)NCc1ccc2cc[nH]c2n1,-6.35341,,-0.0,0,5114.0,0
1335,ZINC000658429281,COc1ccccc1CN(C)C(=O)C(=O)N1CCO[C@@](C)(C2CC2)C1,-5.64522,COc1ccccc1CN(C)C(=O)C(=O)N1CCO[C@@](C)(C2CC2)C1,-5.64522,,-0.0,0,2778.0,0
5132,ZINC000246287635,C[C@@H]1C(=O)NCCN1C[C@@H](O)COCc1cccs1,-6.89533,C[C@@H]1C(=O)NCCN1C[C@@H](O)COCc1cccs1,-6.89533,,-0.0,0,6973.0,0
3936,ZINC000370903099,CC[C@H](CC(=O)N[C@H]1CCN(c2ccn(C)n2)C1)c1ccccc1,-7.225789999999999,CC[C@H](CC(=O)N[C@H]1CCN(c2ccn(C)n2)C1)c1ccccc1,-7.225789999999999,,-0.0,0,7901.0,0
1176,ZINC000505307435,CC[C@@](C)(C#N)C(=O)NCCCN1CCN(c2ccccc2)CC1,-7.2866,CC[C@@](C)(C#N)C(=O)NCCCN1CCN(c2ccccc2)CC1,-7.2866,,-0.0,0,8055.0,0
1795,ZINC000272215397,CC(C)NS(=O)(=O)N(Cc1ccccc1)CC1CCOCC1,-5.46014,CC(C)NS(=O)(=O)N(Cc1ccccc1)CC1CCOCC1,-5.46014,,-0.0,0,2286.0,0
6793,ZINC000265416225,CN(CCNC(=O)C(=O)Nc1cccc(Cl)c1-n1cncn1)C1CC1,-7.50405,CN(CCNC(=O)C(=O)Nc1cccc(Cl)c1-n1cncn1)C1CC1,-7.50405,,-0.0,0,8544.0,0
