,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank
2315,ZINC000634652279,C[C@H](c1ccccc1)[C@H](O)CSc1ncc(CCO)cn1,-7.949889999999999,C[C@H](c1ccccc1)[C@H](O)CSc1ncc(CCO)cn1,-7.949889999999999,,-0.0,0,9271.0
9368,ZINC000635720045,C[C@H]1CN(C)C[C@H](C(=O)Nc2ccc(Br)c(Cl)c2)O1,-7.04232,C[C@H]1CN(C)C[C@H](C(=O)Nc2ccc(Br)c(Cl)c2)O1,-7.04232,,-0.0,0,7404.0
8938,ZINC000176903120,COc1csc(C(=O)N2C[C@@H](C)O[C@H](c3ccc(F)cc3)C2)c1,-6.07262,COc1csc(C(=O)N2C[C@@H](C)O[C@H](c3ccc(F)cc3)C2)c1,-6.07262,,-0.0,0,4165.0
6437,ZINC000516217971,COc1ccccc1N(CC[C@@H]1CCCCO1)C(C)C,-5.80614,COc1ccccc1N(CC[C@@H]1CCCCO1)C(C)C,-5.80614,,-0.0,0,3270.0
3197,ZINC000621916003,O=C(c1cc(F)cnc1O)N1CC[C@H](Oc2cccnc2)C1,-6.30585,O=C(c1cc(F)cnc1O)N1CC[C@H](Oc2cccnc2)C1,-6.30585,,-0.0,0,4931.0
2733,ZINC000075681515,CC(C)OC(=O)CCN(C)C[C@@H]1OCCc2ccccc21,-7.396730000000001,CC(C)OC(=O)CCN(C)C[C@@H]1OCCc2ccccc21,-7.396730000000001,,-0.0,0,8311.0
3178,ZINC000285169351,C[C@@H](NC(=O)C(=O)NC[C@@H]1CC=CCC1)c1ccccc1Cl,-6.72872,C[C@@H](NC(=O)C(=O)NC[C@@H]1CC=CCC1)c1ccccc1Cl,-6.72872,,-0.0,0,6401.0
2961,ZINC000434366765,C=CCCCCNC(=O)NC[C@H]1CCCC(=O)N1,-2.76607,C=CCCCCNC(=O)NC[C@H]1CCCC(=O)N1,-2.76607,,-0.0,0,38.0
5930,ZINC000360256888,CCc1nn(C)c(CC)c1CC(=O)NCC(C)(C)C#N,-6.55147,CCc1nn(C)c(CC)c1CC(=O)NCC(C)(C)C#N,-6.55147,,-0.0,0,5760.0
6887,ZINC000004370307,O=C(O)c1ccc(-n2[nH]c(=O)c3nccnc3c2=O)cc1,-4.8921,O=C(O)c1ccc(-n2[nH]c(=O)c3nccnc3c2=O)cc1,-4.8921,,-0.0,0,1105.0
6484,ZINC000645894500,CC(C)C1CN(C(=O)C2(S(C)(=O)=O)CCOCC2)C1,-4.25755,CC(C)C1CN(C(=O)C2(S(C)(=O)=O)CCOCC2)C1,-4.25755,,-0.0,0,456.5
5572,ZINC000574317331,COC[C@H](C)S(=O)(=O)N1C[C@@H](C)OC2(CCC2)C1,-4.44572,COC[C@H](C)S(=O)(=O)N1C[C@@H](C)OC2(CCC2)C1,-4.44572,,-0.0,0,612.0
9750,ZINC000282142247,C[C@@H](CC(=O)NCC1(OCCO)CCOCC1)c1cccc(F)c1,-6.470330000000001,C[C@@H](CC(=O)NCC1(OCCO)CCOCC1)c1cccc(F)c1,-6.470330000000001,,-0.0,0,5490.0
7139,ZINC000174666283,CN(C)CCCN(CCC#N)C(=O)[C@@H]1C[C@@]12CCc1ccccc12,-6.5938300000000005,CN(C)CCCN(CCC#N)C(=O)[C@@H]1C[C@@]12CCc1ccccc12,-6.5938300000000005,,-0.0,0,5893.0
2052,ZINC000118654444,NS(=O)(=O)c1ccc2c(c1)N(C(=O)c1ccc3ccccc3c1)CC2,-6.3665400000000005,NS(=O)(=O)c1ccc2c(c1)N(C(=O)c1ccc3ccccc3c1)CC2,-6.3665400000000005,,-0.0,0,5160.0
242,ZINC000659088153,O=C(Nc1ccc2c(c1)CCOC2)C(=O)N1CCC2(CCN2)CC1,-7.443969999999999,O=C(Nc1ccc2c(c1)CCOC2)C(=O)N1CCC2(CCN2)CC1,-7.443969999999999,,-0.0,0,8427.0
2776,ZINC000118752453,Cc1nc(CNc2ccc3ncccc3c2[N+](=O)[O-])no1,-5.16898,Cc1nc(CNc2ccc3ncccc3c2[N+](=O)[O-])no1,-5.16898,,-0.0,0,1618.0
8993,ZINC000561820035,COc1cc(Cl)c(NC(=O)NC[C@@H](O)[C@@H]2CCOC2)cc1C,-7.84993,COc1cc(Cl)c(NC(=O)NC[C@@H](O)[C@@H]2CCOC2)cc1C,-7.84993,,-0.0,0,9113.0
1796,ZINC000069227982,Cc1noc([C@H](C)N2CCN(c3cc(C)nc(C)n3)CC2)n1,-5.4606900000000005,Cc1cc(N2CCN([C@@H](C)c3nc(C)no3)CC2)nc(C)n1,-5.4606900000000005,,-0.0,0,2289.0
429,ZINC000599696036,COC(=O)C1C[C@@H](C)N(Cc2cc(-c3cnn(C)c3C)no2)[C@H](C)C1,-8.04292,COC(=O)C1C[C@@H](C)N(Cc2cc(-c3cnn(C)c3C)no2)[C@H](C)C1,-8.04292,,-0.0,0,9373.0
5057,ZINC000617980419,COCC1(C2CCC2)CN(C(=O)Cc2ccc3c(c2)OCCO3)C1,-5.55045,COCC1(C2CCC2)CN(C(=O)Cc2ccc3c(c2)OCCO3)C1,-5.55045,,-0.0,0,2517.0
2535,ZINC000282601836,Cc1nccn1CCNC(=O)N[C@@H]1C(=O)NCC[C@@H]1C,-6.43921,Cc1nccn1CCNC(=O)N[C@@H]1C(=O)NCC[C@@H]1C,-6.43921,,-0.0,0,5384.0
1682,ZINC000518624487,CCN(C(=O)NCc1ccc(Cl)cc1OC)[C@@H](C)C(C)C,-4.23091,CCN(C(=O)NCc1ccc(Cl)cc1OC)[C@@H](C)C(C)C,-4.23091,,-0.0,0,435.0
9664,ZINC000335264997,CNC[C@@H]1CCN(C(=O)Nc2cccc(Cl)c2C)C1,-7.90527,CNC[C@@H]1CCN(C(=O)Nc2cccc(Cl)c2C)C1,-7.90527,,-0.0,0,9217.0
8485,ZINC000599474655,C/C=C\CNS(=O)(=O)C1(CC(=O)OCC)CC1,-2.98243,C/C=C\CNS(=O)(=O)C1(CC(=O)OCC)CC1,-2.98243,,-0.0,0,61.0
9611,ZINC000588351629,CC1(C(=O)Nc2cccc(Br)c2)CCOCC1,-5.534590000000001,CC1(C(=O)Nc2cccc(Br)c2)CCOCC1,-5.534590000000001,,-0.0,0,2477.0
9631,ZINC000179165881,COCCOc1ccc(C(=O)NC2(CN)CCCC2)cc1,-3.87022,COCCOc1ccc(C(=O)NC2(CN)CCCC2)cc1,-3.87022,,-0.0,0,254.0
3696,ZINC000332096257,Cc1ccc([C@@]2(C)NC(=O)N(Cc3nc(N(C)C)no3)C2=O)c(C)c1,-6.2038,Cc1ccc([C@@]2(C)NC(=O)N(Cc3nc(N(C)C)no3)C2=O)c(C)c1,-6.2038,,-0.0,0,4608.0
2143,ZINC000646710737,C[C@H](CNC(=O)C(=O)Nc1ccc2ncccc2c1)CC(F)F,-7.9433,C[C@H](CNC(=O)C(=O)Nc1ccc2ncccc2c1)CC(F)F,-7.9433,,-0.0,0,9258.0
2740,ZINC000336153156,CC(=O)N[C@H](C)C1CCN(C(=O)c2[nH]ccc2C)CC1,-6.02352,CC(=O)N[C@H](C)C1CCN(C(=O)c2[nH]ccc2C)CC1,-6.02352,,-0.0,0,3996.0
4122,ZINC000649366286,NC[C@@H]1CC[C@H](NC(=O)CNc2cccc(C(F)(F)F)c2)C1,-8.369860000000001,NC[C@@H]1CC[C@H](NC(=O)CNc2cccc(C(F)(F)F)c2)C1,-8.369860000000001,,-0.0,0,9650.0
2580,ZINC000554244536,CCN(Cc1ccccn1)C(=O)C(=O)N[C@@H]1CCc2c[nH]nc2C1,-5.52677,CCN(Cc1ccccn1)C(=O)C(=O)N[C@@H]1CCc2c[nH]nc2C1,-5.52677,,-0.0,0,2465.0
2409,ZINC000451445662,COC(=O)[C@@H]1CCN(S(=O)(=O)C[C@H]2CCCCC2(F)F)[C@@H]1C,-6.01809,COC(=O)[C@@H]1CCN(S(=O)(=O)C[C@H]2CCCCC2(F)F)[C@@H]1C,-6.01809,,-0.0,0,3973.0
4901,ZINC000126757639,CCCC(CCC)C(=O)N1CCC(c2nc(C)cs2)CC1,-5.23617,CCCC(CCC)C(=O)N1CCC(c2nc(C)cs2)CC1,-5.23617,,-0.0,0,1769.0
5452,ZINC000334961342,C[C@@H]1CSC[C@@H]1NC(=O)Nc1ccccc1N(C)C,-7.0443,C[C@@H]1CSC[C@@H]1NC(=O)Nc1ccccc1N(C)C,-7.0443,,-0.0,0,7413.0
6226,ZINC000605479020,O=C(NC1(c2ccccc2F)CC1)[C@H]1CC(=O)N(c2ccccc2)C1,-7.062760000000001,O=C(NC1(c2ccccc2F)CC1)[C@H]1CC(=O)N(c2ccccc2)C1,-7.062760000000001,,-0.0,0,7461.0
