,compound_id,smiles,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank
0,2579982,COC(=O)CCC(C)C1CCC2C3CCC4C[C@@H](CCC4(C)C3CC(=O)C12C)OC(=O)c1ccccc1,-3.795,COC(=O)CCC(C)C1CCC2C3CCC4C[C@H](OC(=O)c5ccccc5)CCC4(C)C3CC(=O)C12C,-3.795,,-0.0,0,741.0
1,2505256,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,-3.605,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,-3.605,,-0.0,0,627.0
2,2579969,C[C@]12CCC3C(CCC4CCCC[C@]34C)C1CCC2N,-3.624,C[C@]12CCCCC1CCC1C2CC[C@]2(C)C(N)CCC12,-3.624,,-0.0,0,634.0
3,2552946,COC(=O)c1sccc1NC(=O)CCC(O)=O,-3.658,COC(=O)c1sccc1NC(=O)CCC(=O)O,-3.658,,-0.0,0,661.5
4,2523997,COC(=O)c1sccc1NC(=O)CC1(CCCCCC1)C(O)=O,-2.718,COC(=O)c1sccc1NC(=O)CC1(C(=O)O)CCCCCC1,-2.718,,-0.0,0,217.0
5,2527051,Cc1ccccc1NC(=O)CC1(CCCCC1)C(O)=O,-2.895,Cc1ccccc1NC(=O)CC1(C(=O)O)CCCCC1,-2.895,,-0.0,0,284.0
6,2560429,CC(=C)CC1(CCCCC1)Nc1ccccc1C,-4.136,C=C(C)CC1(Nc2ccccc2C)CCCCC1,-4.136,,-0.0,0,884.0
7,2559454,CC(C)(C)c1ccccc1NC(=O)CCC(O)=O,-3.691,CC(C)(C)c1ccccc1NC(=O)CCC(=O)O,-3.691,,-0.0,0,679.0
8,2534103,Cc1ccccc1NC(=O)COC(=O)COc1ccccc1,-1.472,Cc1ccccc1NC(=O)COC(=O)COc1ccccc1,-1.472,,-0.0,0,26.0
9,2561037,CC(=O)NN=C(S)Nc1ccccc1C(F)(F)F,-5.234,CC(=O)NN=C(S)Nc1ccccc1C(F)(F)F,-5.234,,-0.0,0,1172.0
10,2559587,OC(=O)C1C2CC(C=C2)C1C(=O)Nc1ccccc1C(F)(F)F,-3.303,O=C(O)C1C2C=CC(C2)C1C(=O)Nc1ccccc1C(F)(F)F,-3.303,,-0.0,0,450.5
11,2516226,Cc1ccccc1NC(=O)CSc1nc(=O)[nH]c2CCCCc12,-4.42,Cc1ccccc1NC(=O)CSc1nc(=O)[nH]c2c1CCCC2,-4.42,,-0.0,0,984.0
12,2507677,Cc1ccccc1NCCNc1ccccc1C,-1.882,Cc1ccccc1NCCNc1ccccc1C,-1.882,,-0.0,0,60.0
13,2578149,O=C(CSC1=NCCS1)c1ccc2OCCOc2c1,-2.873,O=C(CSC1=NCCS1)c1ccc2c(c1)OCCO2,-2.873,,-0.0,0,274.0
14,2501780,Cn1c(SCC(=O)c2ccc3OCOc3c2)nnc1C1COc2ccccc2O1,-3.725,Cn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1C1COc2ccccc2O1,-3.725,,-0.0,0,697.0
15,2503294,O=C(OCC(=O)c1ccc2OCCOc2c1)C1CCN(CC1)S(=O)(=O)c1cccs1,-3.235,O=C(COC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1)c1ccc2c(c1)OCCO2,-3.235,,-0.0,0,413.5
16,2500257,CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)C1CCN(CC1)S(=O)(=O)c1cccs1,-1.78,CN(C(=O)COC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1)C1CCS(=O)(=O)C1,-1.78,,-0.0,0,46.0
17,2504430,COc1ccc(cc1Br)C(=O)OCC(=O)N(C)C1CCS(=O)(=O)C1,-5.395,COc1ccc(C(=O)OCC(=O)N(C)C2CCS(=O)(=O)C2)cc1Br,-5.395,,-0.0,0,1186.0
18,2501380,CC(NC1=NS(=O)(=O)c2ccccc12)C(=O)OCC(=O)N(C)C1CCS(=O)(=O)C1,-5.093,CC(NC1=NS(=O)(=O)c2ccccc21)C(=O)OCC(=O)N(C)C1CCS(=O)(=O)C1,-5.093,,-0.0,0,1152.5
19,2508173,O=C(C1CCN(CC1)S(=O)(=O)c1cccs1)N(C1CCCCC1)c1ccccn1,-7.112,O=C(C1CCN(S(=O)(=O)c2cccs2)CC1)N(c1ccccn1)C1CCCCC1,-7.112,,-0.0,0,1269.0
20,2504371,COc1ccc(NC(=O)C(C)NC2=NS(=O)(=O)c3ccccc23)cc1S(N)(=O)=O,-4.663,COc1ccc(NC(=O)C(C)NC2=NS(=O)(=O)c3ccccc32)cc1S(N)(=O)=O,-4.663,,-0.0,0,1051.0
21,2504392,CN(C1CCS(=O)(=O)C1)C(=O)CSc1nnc(-c2c[nH]c3ccccc23)n1C1CC1,-2.94,CN(C(=O)CSc1nnc(-c2c[nH]c3ccccc23)n1C1CC1)C1CCS(=O)(=O)C1,-2.94,,-0.0,0,303.0
22,2529799,CCCNC(=O)COc1ccc2ccc(=O)oc2c1,-3.218,CCCNC(=O)COc1ccc2ccc(=O)oc2c1,-3.218,,-0.0,0,405.0
23,2524820,COCCCn1c(C)cc(C(=O)COc2ccc3ccc(=O)oc3c2)c1C,-0.691,COCCCn1c(C)cc(C(=O)COc2ccc3ccc(=O)oc3c2)c1C,-0.691,,-0.0,0,7.0
24,2511684,OC(=O)C1(CCN(CC1)C(=O)COc1ccc2ccc(=O)oc2c1)c1ccccc1,-3.59,O=C(COc1ccc2ccc(=O)oc2c1)N1CCC(C(=O)O)(c2ccccc2)CC1,-3.59,,-0.0,0,621.0
25,2564574,C[C@H]1CCC([C@H](CCC(O)=O)[C@@]1(C)COc1ccc2ccc(=O)oc2c1)=C(C)C,-3.722,CC(C)=C1CC[C@H](C)[C@](C)(COc2ccc3ccc(=O)oc3c2)[C@H]1CCC(=O)O,-3.722,,-0.0,0,696.0
26,2509587,CC(=O)OC1CCC2(C)C(COc3ccc4ccc(=O)oc4c3)C(C)(O)CCC2C1(C)C,-4.493,CC(=O)OC1CCC2(C)C(COc3ccc4ccc(=O)oc4c3)C(C)(O)CCC2C1(C)C,-4.493,,-0.0,0,1009.0
27,2505472,Cc1c(CCC(=O)N2CCC(CC2)(C(O)=O)c2ccccc2)c(=O)oc2cc3oc4CCCCc4c3cc12,-3.785,Cc1c(CCC(=O)N2CCC(C(=O)O)(c3ccccc3)CC2)c(=O)oc2cc3oc4c(c3cc12)CCCC4,-3.785,,-0.0,0,736.5
28,2500744,Cc1c(CC(=O)NCC(=O)NCC(O)=O)c(=O)oc2cc3oc4CCCCc4c3cc12,-4.06,Cc1c(CC(=O)NCC(=O)NCC(=O)O)c(=O)oc2cc3oc4c(c3cc12)CCCC4,-4.06,,-0.0,0,858.0
29,2577273,O=C(NCCCN1CCCC1)C1CCNCC1,-3.469,O=C(NCCCN1CCCC1)C1CCNCC1,-3.469,,-0.0,0,549.5
30,2569048,NC(=N)NCCCN1CCCC1,-2.142,N=C(N)NCCCN1CCCC1,-2.142,,-0.0,0,103.5
31,2576112,O=C(NCCCN1CCCC1)NCc1ccccc1,-1.431,O=C(NCCCN1CCCC1)NCc1ccccc1,-1.431,,-0.0,0,23.0
32,2500123,Cc1oc(nc1CN1CCC(CC1)C(=O)NCCCN1CCCC1)-c1ccccc1C,-1.685,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCCN3CCCC3)CC2)c(C)o1,-1.685,,-0.0,0,36.0
33,2559535,O=C(NCCCNC(=O)C1CC1)C1CC1,-3.778,O=C(NCCCNC(=O)C1CC1)C1CC1,-3.778,,-0.0,0,732.0
34,2505464,CC(C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCC(CC1)C(=O)N[C@@H](CC(O)=O)C(O)=O,-5.413,Cc1ccc(S(=O)(=O)N[C@H](C(=O)N2CCC(C(=O)N[C@@H](CC(=O)O)C(=O)O)CC2)C(C)C)cc1,-5.413,,-0.0,0,1188.0
35,2500211,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCC(CC1)C(=O)N[C@@H](C(C)C)C(O)=O,-6.793,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCC(C(=O)N[C@H](C(=O)O)C(C)C)CC1,-6.793,,-0.0,0,1266.0
36,2504987,CCC(C)C(NS(=O)(=O)c1ccc(C)cc1)C(O)=O,-5.23,CCC(C)C(NS(=O)(=O)c1ccc(C)cc1)C(=O)O,-5.23,,-0.0,0,1171.0
37,2505192,Cc1ccc(cc1)S(=O)(=O)NC(Cc1ccccc1)C(O)=O,-2.341,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)O)cc1,-2.341,,-0.0,0,139.0
38,2504608,Cc1ccc(cc1)S(=O)(=O)NC(CC(N)=O)C(O)=O,-3.77,Cc1ccc(S(=O)(=O)NC(CC(N)=O)C(=O)O)cc1,-3.77,,-0.0,0,727.5
39,2562000,NC(Cc1c[nH]c2ccccc12)C(O)=O,-3.345,NC(Cc1c[nH]c2ccccc12)C(=O)O,-3.345,,-0.0,0,476.0
40,2509750,NC(Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1,-4.961,NC(Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1,-4.961,,-0.0,0,1128.0
41,2553750,OC(=O)CCC(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,-3.221,O=C(O)CCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-3.221,,-0.0,0,407.5
42,2511052,CC(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,-3.329,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-3.329,,-0.0,0,464.0
43,2503579,Cc1ccc(cc1)S(=O)(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,-2.905,Cc1ccc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)cc1,-2.905,,-0.0,0,289.0
44,2527947,CN(C(=O)CNC(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O)c1ccccc1,-4.518,CN(C(=O)CNC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1,-4.518,,-0.0,0,1016.0
45,2546763,OC(=O)C(Cc1c[nH]c2ccccc12)NCc1ccccc1F,-3.082,O=C(O)C(Cc1c[nH]c2ccccc12)NCc1ccccc1F,-3.082,,-0.0,0,355.0
46,2510733,CC(Cc1ccccc1)NC(C)=O,-2.867,CC(=O)NC(C)Cc1ccccc1,-2.867,,-0.0,0,273.0
47,2507494,CC(=O)N[C@@H](Cc1ccccc1)C(O)=O,-3.085,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,-3.0854999999999997,0.0007071067811866267,-0.016204829039044657,0,356.5
49,2503771,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](Cc1ccccc1)C(O)=O,-2.86,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,-2.8259999999999996,0.04808326112068512,-1.2031139419674544,0,271.0
51,2500234,Cc1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,-2.933,Cc1ccc(S(=O)(=O)N2CCC(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)CC2)cc1,-2.933,,-0.0,0,299.0
