ID smiles score
CPD000001229 Cc1c(C(=O)O)c2cc(O)ccc2n1c3ccccc3 -4.453
CPD000592703 COc1ccccc1CNC(=O)Cc2c[nH]c3ccccc23 -3.370
CPD002367207 CCOc1ccc(CNS(=O)(=O)c2oc(cc2)C3=NNC(=O)C=C3)cc1 -3.803
CPD002376236 CCOc1ccc(NC(=O)c2ccc(C)cc2)c3cccnc13 -3.623
CPD001632507 CCCn1cc(SCC(=O)Nc2ccc(C)cc2)c3ccccc13 -5.955
CPD002373322 CCN(C(=O)C1=CN(C)C(=O)c2ccccc12)c3cccc(C)c3 -5.976
CPD002394539 Fc1ccc(cc1)N(CCC#N)C(=O)CSc2nnnn2c3ccccc3 -5.430
CPD000002612 OC(=O)c1cc(nc2ccc(F)cc12)c3ccncc3 -4.640
CPD000592731 CCNC(=O)NC(=O)CSc1nnc(o1)c2c[nH]c3ccccc23 -3.384
CPD002367208 CN1C(=O)C2(N(C(=O)CS2(=O)=O)c3ccc(Br)cc3)c4ccccc14 -5.261
CPD002370203 CCOc1ccc(CN(CC2=CC(=O)N3N=C(CC)SC3=N2)Cc4ccccc4)cc1 -6.399
CPD002376237 CCOc1ccc(NC(=O)c2ccccc2C)c3cccnc13 -4.053
CPD001632539 COC(=O)c1ccc2c(c1)N(Cc3ccc(Cl)cc3)C(=O)c4ccccc4S2(=O)=O -6.630
CPD002373325 Cc1ccc2NC(=O)CN(C(c3ccc(F)cc3)c2c1)C(=O)Cc4cccc5ccccc45 -7.631
CPD000005325 Cc1occc1c2nnc(SCC(=O)N3CCc4ccccc34)o2 -3.975
CPD000592755 Cc1cc(NC(=O)c2ccc(Cl)cc2)n(CCC#N)n1 -3.173
CPD002394540 CCCn1nc(C(=O)N2CCN(CC2)S(=O)(=O)c3ccc(C)cc3C)c4ccccc4c1=O -3.469
CPD002376238 CCOc1ccc(NC(=O)c2ccccc2Cl)c3cccnc13 -3.563
CPD002370204 CC(C)CN(CC1=CC(=O)N2C3=C(CCCC3)SC2=N1)Cc4ccc(F)cc4 -3.927
CPD002367209 Cc1ccc(CN2C(=O)C3(N(C(=O)CS3(=O)=O)c4ccc(F)c(Cl)c4)c5ccccc25)cc1 -5.321
CPD001632644 COCCCNC(=O)c1cc(nc2ccccc12)c3ccccc3 -5.311
CPD000008856 Fc1ccc(cc1)c2nc3cc(NC(=O)c4ccccc4F)ccc3o2 -5.686
CPD002376239 CCOc1ccc(NC(=O)c2ccc(Cl)cc2)c3cccnc13 -3.522
CPD000009022 CCCn1c(SCc2ccccc2)nc3n(C)c(=O)[nH]c(=O)c13 -4.808
CPD001632652 COCCNC(=O)c1cc(nc2ccccc12)c3ccc(OC)cc3 -6.100
CPD002367210 Cc1ccc(CN2C(=O)C3(N(C(=O)CS3(=O)=O)c4ccc(C)c(C)c4)c5ccccc25)cc1 -5.592
CPD002376240 CCOc1ccc(NC(=O)COc2ccccc2)c3cccnc13 -3.279
CPD002394541 CCCCCCn1nc(C(=O)OCn2nnc3ccccc3c2=O)c4ccccc4c1=O -3.398
CPD002373326 CCOc1cc(cc(OCC)c1OCC)C(=O)N2CC(=O)Nc3ccc(C)cc3C2c4ccccc4 -3.831
CPD000592763 CN(C(=O)Cn1nc(C(=O)O)c2ccccc2c1=O)c3ccccc3 -4.834
CPD002370205 COc1ccc(CN(CC2=CC(=O)N3C=C(C)SC3=N2)Cc4ccccc4)cc1OC -6.135
CPD000009052 COc1ccc2n(C)c(C)c(C(=O)CN(C)C)c2c1 -5.125
CPD002376241 CCOc1ccc(NC(=O)COc2ccccc2C)c3cccnc13 -3.318
CPD002367211 CCc1cccc(c1)N2C(=O)CS(=O)(=O)C23C(=O)N(Cc4ccc(Cl)cc4)c5ccccc35 -3.679
CPD002394542 Cc1cc(C)cc(NC(=O)c2nn(Cc3ccccc3)c(=O)c4ccccc24)c1 -5.646
CPD001632658 O=C(NCc1ccccc1)c2cc(nc3ccccc23)c4ccccn4 -6.083
CPD000592827 Cc1ccc2c(COC(=O)c3ccc(C)c(C)c3)cc(=O)oc2c1 -3.145
CPD000009144 CCCn1c(SCCc2ccccc2)nc3n(C)c(=O)[nH]c(=O)c13 -5.191
CPD002373327 Cc1ccc(cc1)C(NC(=O)Cc2cccs2)C(=O)Nc3ccc4OCCOc4c3 -7.361
CPD002370206 CCCN(CC1=CC(=O)N2C=C(C)SC2=N1)Cc3cc(OC)c(OC)c(OC)c3 -5.721
CPD001632690 CCC(C)NC(=O)c1ccc2nc(CC)c(CC)nc2c1 -4.815
CPD002376242 CCOc1ccc(NC(=O)COc2ccc(OC)cc2)c3cccnc13 -3.408
CPD000009147 CC(C)n1c(SCC=C)nc2n(C)c(=O)[nH]c(=O)c12 -3.673
CPD002394543 CCc1ccccc1NC(=O)c2nn(Cc3ccccc3)c(=O)c4ccccc24 -6.771
CPD002367212 CCc1ccc(cc1)N2C(=O)CS(=O)(=O)C23C(=O)N(Cc4ccccc4C)c5ccccc53 -5.039
CPD000594728 COc1ccc(OC)c(CC(=O)NC(c2ccccc2)c3ccccc3)c1 -3.681
CPD001632692 CCc1nc2ccc(cc2nc1CC)C(=O)NC3CC3 -3.949
CPD002376243 CCOc1ccc(NC(=O)C(C)Oc2ccccc2OC)c3cccnc13 -3.039
CPD000009152 CC(C)Sc1nc2n(C)c(=O)[nH]c(=O)c2n1Cc3ccc(Cl)cc3 -3.815
CPD002394544 COc1ccc(\C=C(\C#N)/c2oc3ccccc3n2)cc1OC -4.867
CPD002373328 COc1ccc(cc1)C(NC(=O)Cc2cccs2)C(=O)Nc3ccc4OCOc4c3 -6.260
CPD002370207 COCCN(CC1=CC(=O)N2C3=C(CCCC3)SC2=N1)Cc4ccc(cc4)C(C)C -3.325
