,ID,smiles,score,rdkit_smiles
0,2579982,COC(=O)CCC(C)C1CCC2C3CCC4C[C@@H](CCC4(C)C3CC(=O)C12C)OC(=O)c1ccccc1,-7.223,COC(=O)CCC(C)C1CCC2C3CCC4C[C@H](OC(=O)c5ccccc5)CCC4(C)C3CC(=O)C12C
1,2505256,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,-6.982,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1
2,2579969,C[C@]12CCC3C(CCC4CCCC[C@]34C)C1CCC2N,-6.809,C[C@]12CCCCC1CCC1C2CC[C@]2(C)C(N)CCC12
3,2552946,COC(=O)c1sccc1NC(=O)CCC(O)=O,-5.096,COC(=O)c1sccc1NC(=O)CCC(=O)O
4,2523997,COC(=O)c1sccc1NC(=O)CC1(CCCCCC1)C(O)=O,-4.741,COC(=O)c1sccc1NC(=O)CC1(C(=O)O)CCCCCC1
5,2527051,Cc1ccccc1NC(=O)CC1(CCCCC1)C(O)=O,-5.608,Cc1ccccc1NC(=O)CC1(C(=O)O)CCCCC1
6,2560429,CC(=C)CC1(CCCCC1)Nc1ccccc1C,-6.644,C=C(C)CC1(Nc2ccccc2C)CCCCC1
7,2559454,CC(C)(C)c1ccccc1NC(=O)CCC(O)=O,-6.057,CC(C)(C)c1ccccc1NC(=O)CCC(=O)O
8,2534103,Cc1ccccc1NC(=O)COC(=O)COc1ccccc1,-4.523,Cc1ccccc1NC(=O)COC(=O)COc1ccccc1
9,2561037,CC(=O)NN=C(S)Nc1ccccc1C(F)(F)F,-6.699,CC(=O)NN=C(S)Nc1ccccc1C(F)(F)F
10,2559587,OC(=O)C1C2CC(C=C2)C1C(=O)Nc1ccccc1C(F)(F)F,-6.276,O=C(O)C1C2C=CC(C2)C1C(=O)Nc1ccccc1C(F)(F)F
11,2516226,Cc1ccccc1NC(=O)CSc1nc(=O)[nH]c2CCCCc12,-7.222,Cc1ccccc1NC(=O)CSc1nc(=O)[nH]c2c1CCCC2
12,2507677,Cc1ccccc1NCCNc1ccccc1C,-4.779,Cc1ccccc1NCCNc1ccccc1C
13,2578149,O=C(CSC1=NCCS1)c1ccc2OCCOc2c1,-5.411,O=C(CSC1=NCCS1)c1ccc2c(c1)OCCO2
14,2501780,Cn1c(SCC(=O)c2ccc3OCOc3c2)nnc1C1COc2ccccc2O1,-7.435,Cn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1C1COc2ccccc2O1
