,rdkit_smiles
68088,CCOC(=O)C(C(=O)OCC)=C(C(=O)OCC)C(=O)OCC
71203,CCCCCNC(=O)CCCC(=O)NCCCCC
47343,CCOC(=O)C(NC(C)=O)C(=O)OCC
71156,CCCCCNC(=O)CCC(=O)NCCCCC
65860,CCCCCCCC(=O)NCCCNC(=O)CCCCCCC
58277,CCCNC(=O)NC(C)(C)C(=O)O
68851,CCCC(=O)NCCCCCCNC(=O)CCC
65489,CCCCC(CC)C(=O)NCCCCCCCCNC(=O)C(CC)CCCC
62340,C/C=N/NC(=O)CCCCC(=O)N/N=C/C
53443,CCCCCCCCCCCCCCCCNC(=O)CC#N
55316,CCCCCCNC(=O)CC#N
70614,CCCCCCCCCNC(=O)CC#N
55364,CCCCCCCNC(=O)CC#N
66266,CCOC(=O)C(=CNC(C)=O)C(=O)OCC
70335,CC[C@@H](C)[C@@H](NC(C)=O)C(=O)O
59222,CCNCC(=O)OCC
50997,CCOC(=O)/C(C#N)=C/N=CN(C)C
56886,CC(=O)NC(C)C(=O)O
69512,CCCCC(CC)C(=O)NCC(C)(C)CNC(=O)C(CC)CCCC
64850,CCCCCCCNC(=O)CCC(=O)NCCCC
65585,CCOC(=O)C(C#N)C(N)=O
71252,CC(C)CC(=O)NCCCCNC(=O)CC(C)C
55544,CCOC(=O)C(N)C(=O)OCC
50739,CC(C)COC(=O)NC(C)C(=O)O
61561,CCCCCNC(=O)NC(C)C(=O)NCC
64849,CCCCCCCNC(=O)CCC(=O)NCCC
50051,CCOC(=O)C(=CNC(N)=O)C(=O)OCC
65765,CCCCS(=O)(=O)CCOCCS(=O)(=O)CCCC
65804,C=C(C)CC(NC(C)=O)(C(=O)OCC)C(=O)OCC
66043,CC(C)OC(=O)NCCOC(N)=O
68269,CCCC(NC(C)C(=O)O)C(=O)OCC
63453,CCOC(=O)C(N)CO
64995,CCC(CC)NC(=O)C(=O)O
56399,CCCCCCCNCCCCCCC
64758,CCCCCCCNC(=O)CCC(=O)NCCC(C)C
54869,CC(C)(C)OC(=O)NCC(=O)O
59308,CCCCNC(=O)NC(C(N)=O)C(N)=O
67160,CCOC(=O)C(CC(C(=O)OCC)C(=O)OCC)C(=O)OCC
67794,CC(C)CCNC(=O)CCC(=O)NC(C)(C)C
70358,CC[C@H](C)[C@H](N)C(N)=O
58635,C=CCC(NC(C)=O)C(=O)O
49419,COC(=O)CNCC(=O)OC
69593,COCCCNC(=O)CCC(=O)NCCCOC
61066,CCCNC(=O)NC(C(N)=O)C(N)=O
52149,CCOC(=O)C(CC(C)C)NC(C)=O
66879,CCC/C=N/NC(=O)CCCC(=O)N/N=C/CCC
63456,COCCN(CCOC)CC(=O)OC
70003,CNCCCNC(=O)C=NO
54437,CC(=O)CC(=O)N(CCC[N+](C)(C)C)CCC[N+](C)(C)C
65732,CCCCS(=O)(=O)CCS(=O)(=O)CCCC
70893,CCCCCCCCCCCC(=O)N/N=C\CC(C)C
70518,CCCCCCC(=O)NNC(=O)NCCCC
67122,COCCCNC(=O)/C=C/C(=O)O
69302,CC(C)C(=O)NCC(C)(C)CNC(=O)C(C)C
49535,CNC(CC(=O)O)C(=O)O
66493,CCOC(=O)CNC(=O)C(=O)NCC(=O)OCC
71318,CCCCC(=O)NCCCCNC(=O)CCCC
70063,CC(=O)N[C@@H](C(=O)O)C(C)C
53868,CC(=O)N[C@H](C(=O)O)C(C)C
59538,CCOC(=O)NC(C(=O)O)C(C)C
70762,CCCCC(CC)CNC(=O)CCC(=O)NCC(CC)CCCC
52770,COC(=O)/C=C(C(=O)OC)/C(=C\C(=O)OC)C(=O)OC
70115,COC(=O)[C@@H](C)NC(=O)NCCCCCO
62968,CCOC(=O)CCCNC(=O)CCl
64924,CS(=O)(=O)OCCCOS(C)(=O)=O
53407,CCOC(=O)C12CCC(C(=O)O)(CC1)CC2
53165,CCOC(=O)/C(C#N)=C\NC(C)=O
47908,CCCCCCCCCCCCOC(=O)C[N+](C)(C)C
64491,COC(=O)C(Cl)(C(=O)OC)C(OC)(C(=O)OC)C(=O)OC
54776,CC(NC=O)C(=O)O
69043,CCN(CC)CCNC(=O)CCC(=O)O
65206,CC(=O)CNC(C)(C)C(C)=O
52602,CC(NC(N)=O)C(=O)O
68561,CCOC(C)C(=O)NN
65429,CC(=O)NC(O)C(O)NC(C)=O
48555,O=C(O)CCC(=O)O
65818,CCCCCCCCS(=O)(=O)CCCCO
76628,CC(C)(CO)C(O)C(=O)NCCC#N
48533,O=C(O)CCCCC(=O)O
65329,CCCCCCCCCCSCCC(=O)O
47308,CCCCCCCCSCCC(=O)O
65332,CCCCCCCCCCCCSCCC(=O)O
65736,CCCCCCCCS(=O)(=O)CCCO
64845,CCOC(=O)C(C(=O)OCC)C(C(=O)OCC)(C(=O)OCC)C(C(=O)OCC)C(=O)OCC
47893,CCOC(=O)C(CCCCCC(NC(C)=O)(C(=O)OCC)C(=O)OCC)(NC(C)=O)C(=O)OCC
54977,CCCCNC(=O)NC(=O)CCl
64757,CCCCCCCNC(=O)CCC(=O)NCCCOC(C)C
68365,CC(C)CNC(=O)C(=O)O
47266,O=C(O)/C=C(/CC(=O)O)C(=O)O
69103,CC(C)(C)NC(=O)C(=O)NC(C)(C)C
65605,CCCCS(=O)(=O)CCCCCO
66551,O=C(O)CCC(CCC(=O)O)C(=O)O
64125,C#CCN(CCC(=O)OC)C(C)C
71164,CC(C)(C)C(=O)NCCCCNC(=O)C(C)(C)C
59231,C=CCNC(=O)NC(C)(C)C(=O)O
69857,COC(=O)CN(CC(=O)OC)NC(=O)CCC(=O)O
56558,CC(C)(C)NCCC(=O)O
63641,CCOCCOC(C)C(=O)N(CC(=O)OCC)CC(C)C
65327,CCCCCCCCSCCCCC(=O)O
47258,CC(=O)NCC(=O)O
