,compound_id,docking_score,rdkit_smiles,rank
71841,CPD002397591,-4.12,COc1cccc(-n2cnnc2SCC(=O)NC(C)c2cccc3ccccc23)c1,71844.5
47148,CPD002367966,-4.88,COC(=O)c1ccc(C2C(c3ccc(C)cc3)=C(O)C(=O)N2CCc2ccc(OC)c(OC)c2)cc1,47148.0
34987,CPD002400651,-5.196,CNC(=O)NC(=O)CSc1nnc(-c2ccccc2Cl)n1-c1cccc(C(F)(F)F)c1,34990.0
53363,CPD001393956,-4.719,CC(C)c1noc(CSc2nc(-c3ccco3)nc3ccccc23)n1,53366.0
80121,CPD000243293,-3.478,CCN(CC)S(=O)(=O)c1ccc(N2CCCC2)c(NS(=O)(=O)c2ccccc2)c1,80119.0
12877,CPD000154024,-6.02,O=C(COc1ccccc1)NCC(=O)Nc1ccc(S(=O)(=O)NCc2ccco2)cc1,12874.0
17488,CPD002433684,-5.785,COCCN(Cc1cccs1)C(=O)CC1C=CCC1,17482.5
3598,CPD001930947,-7.531,Cc1cccc(OCc2nc(C#N)c(NCc3cccnc3)o2)c1,3597.5
72569,CPD002397820,-4.086,CC(C)CCn1c(NCCO)nc2c1c(=O)n(C)c(=O)n2C,72564.5
54512,CPD000030078,-4.688,CCOC(=O)N1CCC(NC(=O)C2CCN(c3nc(-c4ccc(OC)cc4)no3)CC2)CC1,54504.0
68159,CPD000218033,-4.271,O=C(CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1)NN=Cc1ccco1,68172.0
29739,CPD002454491,-5.346,Cc1nc2c3c(C)c(C)n(Cc4cccnc4)c3ncn2n1,29753.0
45179,CPD000280513,-4.928,O=C(C1CCCCC1)N1CCc2ccccc21,45196.0
69241,CPD000562807,-4.231,Cc1ccccc1S(=O)(=O)Cc1ccc(C(=O)NCCN(CC(C)C)CC(C)C)o1,69239.0
40717,CPD002408620,-5.044,CN(C(=O)C1CCN(c2oc(-c3ccco3)nc2C#N)CC1)c1ccccc1,40719.5
50383,CPD002396387,-4.797,CCn1c(CSc2nnc(-c3ccc(C)cc3)[nH]2)nc2cc(S(=O)(=O)N(C)C)ccc21,50382.5
66877,CPD002438849,-4.319,FC(F)(F)c1cccc(NC2(c3nnnn3C3CCCCC3)CCCC2)c1,66879.0
54777,CPD002375472,-4.681,Cc1ccc(OC(C)C(=O)N2CCC(c3nc4ccccc4o3)CC2)cc1C,54768.0
15819,CPD002490326,-5.862,O=C(COc1ccc(Cl)cc1)NCCc1csc(-c2cccnc2)n1,15820.5
