,compound_id,rdkit_smiles,docking_score,rank
6039,CPD002095806,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)=NC2(CCN(CC(C)C)CC2)N=5)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,-2.637,6964.5
3918,CPD002438623,Cc1ccc(S(=O)(=O)Oc2ccc3c(c2)O/C(=C\c2cccc(C)c2)C3=O)cc1,-4.744,5527.5
6060,CPD002405815,CN(CC(=O)NC1(C)CCS(=O)(=O)C1)Cc1ccc(Cl)cc1,-4.624,5762.5
5533,CPD002401016,COc1cc(Cl)c(C)cc1NC(=O)CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,-6.276,2749.0
1793,CPD002430098,O=C(O)CNCc1ccccc1,-7.298,1969.0
3746,CPD000498559,CCNS(=O)(=O)c1ccc(CCC(=O)N2CCN(c3ccccc3F)CC2)cc1,-5.436,4086.5
949,CPD000650164,CCc1cc(=O)oc2cc(C)cc(OCC(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)c12,-8.274,1028.5
4075,CPD002437276,COCc1cc(C)n(CC(=O)Nc2cc(C(F)(F)F)ccc2Cl)c(=O)c1C#N,-5.073,4819.0
1891,CPD002415606,COC(=O)c1cc(/C=C/C(=O)O)oc1C,-7.084,2088.5
5023,CPD002455705,O=[N+]([O-])c1ccc(-c2nc(Nc3ccc(I)cc3)c3ccccc3n2)cc1,-5.199,4535.0
3404,CPD002489643,COc1ccc2nc(Nc3nc(C)cc(C)n3)nc(C)c2c1,-4.417,6122.5
1656,CPD002488359,N#Cc1cc2c(nc1N1CCN(C(C(=O)O)c3c[nH]c4cc(Cl)ccc34)CC1)CCCC2,-7.558,1809.0
3883,CPD002410037,O=C(O)c1nnn(-c2ccc(Br)cc2)c1C(F)(F)F,-7.561,1805.5
4067,CPD002407239,CN1CCc2nc(NC(=O)Cn3c(=O)oc4ccccc43)sc2C1,-5.481,3988.5
5255,CPD002455231,Cc1oc2cc(OCc3ccc(F)cc3)ccc2c(=O)c1Oc1ccccc1,-6.898,2203.0
3213,CPD002376669,CCOC(=O)C1CCN(C(=O)Cn2ncn3nc(-c4ccco4)cc3c2=O)CC1,-4.889,5219.0
3174,CPD002488170,O=C(NCCNCCO)c1nc(O)c2ccccc2n1,-4.969,5043.0
824,CPD002431172,CCCS(=O)(=O)NCCc1ccc(C(=O)O)cc1,-8.386,896.5
2038,CPD002490369,CC(=O)Nc1ccc(NC(=O)CSCc2nc(O)c3ccccc3n2)cc1,-6.766,2291.0
4353,CPD001247620,CCN(C(=O)CSc1ccc(S(=O)(=O)N2CCOCC2)cn1)c1ccccc1,-4.365,6194.0
93,CPD001488508,COc1ccc2[nH]c(C)c(CC(=O)O)c2c1,-9.48,102.0
4196,CPD002487500,COc1ccc(-c2nc(S(=O)(=O)c3ccc4c(c3)OCCO4)c(N3CCN(C)CC3)o2)cc1,-4.377,6176.5
1285,CPD002485255,CC(C)(Sc1nc2c(cc1C#N)CCCC2)C(=O)O,-7.977,1403.0
310,CPD002499457,O=C(O)c1ccc(CNCc2cccc3ccccc23)cc1,-8.998,345.0
4310,CPD002412910,O=C(NN=C1CCCCC1)c1cc(-c2cccs2)nc2ccccc12,-3.664,6802.0
4919,CPD000107610,CSC1=N/C(=C\c2ccc(C(=O)O)cc2)C(=O)S1,-8.677,623.5
3244,CPD002411157,Cc1cnc(C(=O)NCC(c2ccccc2)c2c[nH]c3ccccc23)cn1,-4.834,5337.5
