smiles,ID,docking_score
Cc1cnc(-c2ccccc2NC(=O)C[C@H]2CSCCN2)[nH]1,ZINC000423751941,-8.72108
Cc1cccnc1[C@H]1CCC[C@H](NCCc2cccc(C(N)=O)c2)C1,ZINC000281711860,-8.85025
CN(CCNC(=O)c1nccc2ccccc21)C1CCCC1,ZINC000355206849,-9.24284
CC(C)[C@H](CNC(=O)NCCc1cn2ccccc2n1)N1CCCC1,ZINC000105101400,-9.49481
C[C@@H]1Oc2cc(F)ccc2[C@@H]1NC[C@@H](O)COc1ccc(C#N)cc1,ZINC000567707971,-9.02305
C[C@@H]1CN(CCCNC(=O)c2ccc(C#N)c(Cl)c2)CCCO1,ZINC000578386325,-9.09779
O=C(N=c1cc[nH]cc1F)N[C@@H]1CCCN(C2CCCCC2)C1,ZINC000376310112,-9.07259
CN(C[C@H]1C[C@@H](O)C1)C(=O)NC1CCN([C@@H]2CCCC[C@H]2O)CC1,ZINC000636939803,-8.7854
NC[C@@H](NC(=O)c1nnc(O)c2ccccc21)C(F)(F)F,ZINC000655505348,-8.689639999999999
CN(C[C@H]1CCN(C)C1)C(=O)C(=O)N[C@H]1CCOc2ccc(F)cc21,ZINC000286772262,-7.512910000000001
COc1cccnc1CNC[C@@H]1C[C@H]1c1ccccc1,ZINC000418117029,-7.48429
C[C@H](CCc1c(F)cccc1F)N[C@@H]1CCOC2(CCCC2)C1,ZINC000510706048,-7.47669
CN(C/C=C/c1ccc(F)cc1F)CC1(O)CCOCC1,ZINC000438553616,-7.520469999999999
C[C@@H](NCc1cscn1)c1ccc(OCc2nccn2C)cc1,ZINC000127315336,-6.47114
C=CCCOCC(=O)NCc1ccccc1CN1CCCC1,ZINC000143599361,-6.48235
Cc1cnn([C@@H]2CCN(C(=O)[C@@H](C)N(C)Cc3ccccc3)C2)c1,ZINC000291408629,-6.34901
CC(C)N1CCCC[C@H]1C(=O)N1Cc2cccnc2C1,ZINC000573713778,-6.33645
C[C@H](C(=O)Nc1ccc(C(N)=O)nc1)c1cn(C)c2ccccc12,ZINC000184656144,-6.30089
COC(=O)c1cc(C/N=C(/O)N2CCC[C@](C)(OC)C2)oc1C,ZINC000330983510,-6.30026
COc1ncnc(OC)c1C(=O)NC[C@@H]1Cc2ccccc2CO1,ZINC000628363064,-6.29253
CN(C(=O)CNc1cccc(C#N)c1)[C@H]1CCC[C@H]1O,ZINC000341840848,-6.29712
CC[C@@H](c1ccccc1)N(CC)C(=O)[C@@H]1CNC[C@H]1C,ZINC000449223408,-6.24799
CC(C)OC(=O)CCN1C(=O)N[C@](C)(c2ccc(Cl)cc2)C1=O,ZINC000123619057,-6.25781
CN(CCC(N)=O)C(=O)CNS(=O)(=O)c1ccccc1F,ZINC000290989020,-6.27131
CCOc1ncccc1CNC(=O)c1cc(OC)c2c(c1)OCCO2,ZINC000031324187,-6.22171
COc1cc2ccccc2cc1C(=O)NCc1ccc(O)cc1,ZINC000630344279,-6.1767
CCCOc1ccc(CNC(=O)CN[C@H]2CCOC2(C)C)cc1,ZINC000295341170,-6.19716
C[C@@H]1CN(S(=O)(=O)CCc2ccccc2F)C[C@H](C)S1(=O)=O,ZINC000656991614,-6.12091
C[C@H](Oc1cccnc1)C(=O)NC[C@H](CO)c1ccc(F)cc1,ZINC000412716799,-6.11786
COc1ccc(-c2ccc(CNC(=O)[C@@H]3CCNC3=O)s2)cc1,ZINC000611840969,-6.11197
CCOC(=O)[C@@H]1CC[C@H](NCC2=CCCOC2)C[C@H]1C,ZINC000348247436,-6.09421
CO[C@@H](Cc1ccccc1)c1noc(/C=C/c2cnn(C)c2C)n1,ZINC000453213327,-6.11102
CN(C)c1ccccc1CN(C)C(=O)Cc1ccncc1Cl,ZINC000614943169,-6.07096
Cc1ccc([C@H](C)NC(=O)NCc2cc(Br)cs2)o1,ZINC000040139470,-6.04068
Cn1nncc1C(=O)NC[C@H]1CN(c2ccc(Cl)cc2)CCO1,ZINC000628736043,-6.05667
Cn1cccc1C(=O)C(=O)NCCCn1ccccc1=O,ZINC000215226853,-6.009440000000001
C[C@@H](O)CCNC(=O)N[C@H](C)c1ccc(Br)s1,ZINC000081511908,-6.00341
O=C(CCC1CCC1)N1CCN(C(=O)c2ccc(Cl)cc2)CC1,ZINC000175481525,-5.97129
CC(C)(C)OC(=O)NC(C)(C)c1nocc1C(=O)NC[C@@H]1CC12CC2,ZINC000496127109,-5.9518
CS[C@H](CO)[C@H](C)NC(=O)c1sc(C)cc1OCc1ccccc1,ZINC000457669169,-5.96986
O=C(C=C(C1CC1)C1CC1)Nc1ccc(O)c(Cl)c1,ZINC000264913965,-5.97956
COc1ccc(NC(=O)C[C@@H](C)CC(C)C)cc1NC(N)=O,ZINC000427974568,-5.85555
CSc1ccc(CNc2ccc3nccnc3n2)cc1,ZINC000301090283,-5.89123
COCc1ccccc1CNC(=O)C[C@@H]1C[C@H]2CC[C@@H]1C2,ZINC000025304429,-5.88448
COc1ccc(CN(C)C[C@@H]2C[C@H](F)CN2Cc2noc(C)n2)cn1,ZINC000275531699,-5.8295900000000005
C[C@@H]1CN(C(=O)NCCc2cccs2)C[C@]2(CCCOC2)O1,ZINC000366859350,-5.81764
COc1ccc(C(=O)NC[C@@H](O)[C@H]2CCCO2)cn1,ZINC000529760591,-5.84676
CC(C)N(Cc1ccccc1F)C(=O)C(=O)N[C@@H](C)c1cnn(C)c1,ZINC000286708097,-5.83065
C[C@H](C1CC1)n1nccc1NC(=O)C(=O)NCCCc1nccs1,ZINC000290816504,-5.84076
CCCNC(=O)CN1CC=C(c2ccc(OCC)cc2)CC1,ZINC000091810666,-5.72132
CNc1c(Cl)ncnc1NCCOc1ccccc1C,ZINC000302516192,-5.7304
CCOCCCC(=O)N1CCC(F)(c2cc(OC)cc(OC)c2)CC1,ZINC000549314011,-5.75397
Cc1ccccc1C(=O)NCC(=O)N1CCOc2ncccc2C1,ZINC000680847975,-5.67928
CCc1cnc(CN(C)C(=O)c2cnc3cc(OC)ccn32)s1,ZINC000424710836,-5.67027
CCn1c(SCC(=O)N2CCSC[C@@H]2C)nnc1-c1cccs1,ZINC000172517766,-5.64688
Cc1csc(N2CCN(C(=O)c3oc(S(N)(=O)=O)cc3C)CC2)n1,ZINC000666319183,-5.63292
C=CC[C@@H](C)NC(=O)NCCOc1cccc(Cl)c1,ZINC000172058407,-5.55199
C[C@@H]1CCC[C@H](OCc2nnc(-c3ccc(-n4cnnn4)cc3)o2)C1,ZINC000521393748,-5.50892
FC(F)Oc1nccnc1NCc1ccccc1-n1ccnc1,ZINC000361057989,-5.50644
O=S(=O)(NCc1cccc(Br)c1O)N1CCCC1,ZINC000277477004,-5.49999
CC[C@@H](NC(=O)[C@H]1CCCCCN1)c1nccs1,ZINC000083897681,-6.37522
CCN1C[C@H](C)N(C(=O)CNC(=O)c2ccco2)[C@@H](C)C1,ZINC000580093560,-6.3768
COC[C@@H](C)NC(=O)NC(=O)CN1CCC[C@H]1C1CCC1,ZINC000364524368,-5.40123
CN(CCCO)C(=O)NCc1ccnc(OCc2ccccc2)c1,ZINC000283033317,-5.41021
O=C(NCc1ccc(F)cc1)NCc1c(F)cccc1Cl,ZINC000338236483,-5.44966
O=C(C[C@H]1C(=O)Nc2ccccc21)N1CCC[C@H](CCF)C1,ZINC000618690971,-5.374969999999999
Cc1ccsc1CCNC(=O)N1CCCC[C@@H]1C(F)F,ZINC000409736818,-5.33789
CCOC[C@H]1CCCCN1C(=O)c1ccc2c(c1)CCCC2=O,ZINC000458096140,-5.22375
O=[N+]([O-])c1ccc(S(=O)(=O)N2CC(n3ccnn3)C2)c(F)c1,ZINC000364420253,-5.26588
CC[C@@H]1[C@H](c2ccc(C)cc2)CCN1C(=O)[C@H]1CCc2nn[nH]c2C1,ZINC000375517096,-5.09646
O=C(N[C@@H](c1cccs1)C1CC1)c1cnc2[nH]nnc2c1,ZINC000544463512,-5.11445
CC[C@@H](C)Oc1ccc(NC(=O)CN(CC)C2CC2)cc1,ZINC000151689771,-4.97947
CCC[C@@](C)(O)CNC(=O)c1ccc(Cl)c(N2CCCC2=O)c1,ZINC000608481019,-5.00215
Cc1nc(C(=O)NCc2cccc(Br)c2C)n(C)n1,ZINC000568245372,-4.91751
CCc1nc2cc(S(=O)(=O)N(C)C[C@@H]3CCCC[C@@H]3O)ccc2o1,ZINC000542984685,-4.71217
COc1ccc([C@H](C)Nc2cccnc2[N+](=O)[O-])c(C)c1OC,ZINC000588849146,-4.68527
N#C[C@H]1CN(S(=O)(=O)c2cc3c4c(c2)CCCN4C(=O)C3)CCO1,ZINC000360848012,-4.76269
COC[C@H](NC[C@H](Cc1ccccc1)c1ccccc1)C1CC1,ZINC000484487785,-6.34131
Cn1cnc2c1ncnc2N1CC[C@@H]2OCCN[C@H]2C1,ZINC000634809646,-6.3242400000000005
CCOc1ccnc(N2CCN(C[C@H](O)c3cccnc3)CC2)n1,ZINC000297511370,-6.34279
O=C(Nc1nccs1)c1ccc(C(=O)NC2CC2)cc1,ZINC000156368734,-4.62135
COC[C@H](N)C(=O)NCCN1[C@H](C)CCC[C@H]1C,ZINC000262315878,-4.59783
C[C@H](C(=O)N1CCN2CC(F)(F)C[C@H]2C1)c1ccc2ccccc2c1,ZINC000648939833,-4.42226
C[C@@H](CNC(=O)[C@@H]1C[C@@H]1C1CC1)Oc1ccc(Cl)cc1,ZINC000177484957,-4.3036
Cc1ccc(NC(=O)N(CCCO)CC(C)(C)C)s1,ZINC000075415290,-4.02781
CC[C@H](CSC)NS(=O)(=O)c1cc(F)c(Br)cc1F,ZINC000537021294,-4.01646
C/C=C\CNC(=O)N[C@@H](C)c1ccc(OCC)cc1,ZINC000623354283,-4.062819999999999
CCC1(NC(=O)N[C@H](C)Cc2ccccc2C)CC1,ZINC000457853030,-3.43899
CCCC(C)(C)CC(=O)NCCC[C@H]1CCCC[C@H]1O,ZINC000427061778,-3.64535
C=CCC[C@H](C(=O)OCc1ccnn1C)c1ccccc1,ZINC000275039139,-2.59212
O=C(N[C@H]1CCN(c2ccccc2)C1=O)c1[nH]c2ccccc2c1Cl,ZINC000068533164,-8.7542
C[C@@H]1C[C@@H](N(C)C[C@H](O)CO[C@@H]2CCCc3ccccc32)CCN1C,ZINC000177058932,-9.15739
COc1c(F)cc(NC(=O)NCCc2cn(C)cn2)c(OC)c1F,ZINC000459626016,-8.9242
C[C@@H](CNC(=O)Nc1ccc2c(c1)CCNC2=O)C1CCCCC1,ZINC000667383491,-8.34426
C[C@@H]1CC[C@@H](CNC(=O)N(C)C[C@@H]2CCN(Cc3ccccc3)C2)O1,ZINC000459161488,-8.33913
Cc1nn(C)c(Cl)c1/C=C/C(=O)NC[C@H]1CC(=O)N(C2CC2)C1,ZINC000273022182,-8.11914
COc1ccc(NC(=O)CN2C[C@H](F)C[C@@H]2C(N)=O)cc1OC,ZINC000346088889,-8.1326
Cc1c([C@@H](C)NCc2coc(-c3cccc(F)c3)n2)cnn1C,ZINC000183300945,-8.01577
CN(C)CCC[C@H]1CN(Cc2nc3ccc([N+](=O)[O-])cc3[nH]2)CCO1,ZINC000595906616,-7.999969999999999
C[C@H](NC1CCN(c2ncnc3ccsc32)CC1)c1ccncn1,ZINC000095505880,-7.919639999999999
Cc1ccc(CNC(=O)C(=O)Nc2cccc3c2CNC3=O)c(C)c1,ZINC000353730635,-7.866410000000001
COc1ccc([C@@H](O)CNC(=O)/C=C/c2cc(C)ccc2OC)cc1,ZINC000134164072,-7.86368
CN(C)Cc1ccc(CNC(=O)N2CC(=O)N(C3CC3)C2)cc1,ZINC000447969296,-7.8775
CCc1nnc(=N[C@H]2CCO[C@H](c3nccn3C)C2)[nH]c1CC,ZINC000576701168,-7.79548
Cc1csc(N2CCN(C(=O)C(=O)Nc3cccc(F)n3)CC2)n1,ZINC000284773607,-7.817839999999999
O=C(CCC(=O)N1CCOCC1)NC[C@H]1COc2ccccc2O1,ZINC000042523736,-7.739889999999999
C[C@@H](NC(=O)C[C@@](C)(O)c1ccccc1)c1nc2ccccc2n1C,ZINC000272807560,-7.75444
COc1c(CNC(=O)NCCc2csc(C)n2)oc2ccccc21,ZINC000352284475,-7.608110000000001
CC1=C[C@H](C)CN(C(=O)c2cccc(NC(=O)c3cccnc3)c2)C1,ZINC000562436785,-7.67846
COCc1n[nH]c(CNC(=O)N(C)Cc2ccc3ccccc3c2)n1,ZINC000666122401,-7.62165
O=C(NC[C@H]1CCc2ccccc2C1)c1nc(-c2cnccn2)no1,ZINC000631367776,-7.67784
CC(C)[C@@H](NC(=O)C(=O)Nc1cc(F)ccc1OC(F)F)C1CC1,ZINC000658804038,-7.547610000000001
COc1cccc(-c2noc([C@@H](C)NC(=O)c3coc(CN)c3)n2)c1,ZINC000187987115,-7.537389999999999
NC(=O)N1CC[C@H](CNC(=O)c2ccc(F)cc2Br)C1,ZINC000673490202,-7.526969999999999
O=C(NCC[C@H]1CC1(F)F)Nc1ccc2c(c1)CCCC2=O,ZINC000621472270,-7.460030000000001
CS(=O)(=O)CCNC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1,ZINC000037740310,-7.481610000000001
OC1C[C@H]2CC[C@@H](C1)N2C[C@@H]1CCC2(CNC2)O1,ZINC000662249365,-7.429760000000001
CC(C)(CCCN)NC(=O)NCCc1coc(-c2ccc(F)cc2)n1,ZINC000417488325,-7.43992
Cc1cc(N)cc(NC(=O)NCC[C@@H]2C[C@@H](C)O[C@@H](C)C2)c1,ZINC000632965025,-7.44269
Cc1ccc(NC(=O)c2cnc(S)[nH]2)cc1C(=O)N1CCCCC1,ZINC000279224346,-7.4258
CN(C(=O)C(=O)NCC1CC=CC1)[C@@H]1CCCN(c2ccccc2)C1,ZINC000625512617,-7.33361
CCC(F)(F)CNC(=O)N1CCN(c2ccc(C(N)=O)cn2)CC1,ZINC000624660520,-7.34065
CN(C[C@H]1CCCOC1)c1nnc(Cn2ccc3ccccc32)n1C,ZINC000337773527,-7.37056
Cc1cc(C(=O)NCc2cnn3ccccc23)c(C)n1C,ZINC000342192873,-7.28998
COC(=O)c1ccc(C(=O)NCC2CCN(CCN(C)C)CC2)n1C,ZINC000294770365,-7.32248
CCN(Cc1ccoc1)C(=O)NCC1(SC)CCN(C)CC1,ZINC000589628997,-7.30777
O=C(CCSc1cnn[nH]1)Nc1cccc(F)c1,ZINC000155808210,-7.32579
O=C(CNC(=O)c1cccc([N+](=O)[O-])c1)N[C@H]1CCC[C@H](O)C1,ZINC000603921212,-7.26058
O=S(=O)(NCC[C@@H](O)c1ccccc1)C1CCC(C(F)(F)F)CC1,ZINC000295307304,-7.25955
